书目ID,题名,责任者,ISBN,价格（元）,出版社,出版年,分类号,索书号,复本数
63750,爱的教育,(意) 亚米契斯著,978-7-5605-7440-0,CNY22.00,西安交通大学出版社,2015,I546.84,,
63749,世界新童话,龚东风， 卢易， 赵伐主编,978-7-5063-8822-1,CNY35.00,作家出版社,2016,I18,,
63748,易经,王建著,978-7-5063-8051-5,CNY35.00,作家出版社,2015,B221.5,,
63747,桃花满天下,柯柯安著,978-7-5113-2287-6,CNY59.80 (全2册),中国华侨出版社,2014,I247.59,,
63746,真语文研究,代泽斌编著,978-7-5068-5979-0,CNY126.00 (全3册),中国书籍出版社,2017,G633.302,,
63745,关键时刻， 刘邦是这么干的,欧阳彦之著,978-7-5047-5916-0,CNY35.00,中国财富出版社,2016,K827=341,,
63744,中国人的人性与人生,梁晓声著,978-7-5143-4410-3,CNY39.80,现代出版社,2017,I267.1,,
63743,2016中国年度作品,贾兴安主编,978-7-5143-5460-7,CNY39.80,现代出版社,2017,I217.61,,
63742,我的春秋我做主之尊王攘夷,海棠栖露著,978-7-5143-3996-3,CNY48.00,现代出版社,2017,K225.09,,
63741,福建省流通业发展报告,许安心， 孔德议编著,978-7-5660-1281-4,CNY58.00,中央民族大学出版社,2017,F727.57,,
63740,风景与文化,韦定广著,978-7-5190-0639-6,CNY55.00,中国文联出版社,2016,I267,,
63739,倾城难再寻,余芳著,978-7-5192-2178-2,CNY32.00,世界图书出版公司,2016,K825.6=75,,
63738,半点论语,郭丹著,978-7-5108-4214-6,CNY45.00,九州出版社,2016,I253,,
63737,51区绝密档案,探秘天下编写组编著,978-7-5195-0056-6,CNY32.00,时事出版社,2017,V11-49,,
63736,去尘荐微,张国擎著,978-7-5063-9117-7,CNY39.00,作家出版社,2017,K878.2,,
63735,超级沟通术,吴明轩著,978-7-5143-5403-4,CNY39.80,现代出版社,2017,C912.11,,
63734,我最想知道的育儿知识,周忠蜀编著,978-7-5337-5744-1,CNY29.80,安徽科学技术出版社,2013,R174,,
63733,当代国际诗坛,主编唐晓渡， 西川,978-7-5063-9323-2,CNY45.00,作家出版社,2017,I12,,
63732,我最想知道的胎教知识,徐文编著,978-7-5337-6067-0,CNY29.80,安徽科学技术出版社,2013,G610.8,,
63731,我最相知道怀孕知识,徐文编著,978-7-5337-5743-4,CNY29.80,安徽科学技术出版社,2013,R715.3,,
63730,烹诗,李犁著,978-7-5063-9286-0,CNY39.00,作家出版社,2017,I267.1,,
63729,幽默,罗挚编,978-7-5113-5956-8,CNY59.00,中国华侨出版社,2016,B83-49,,
63728,人生感悟,颜昌荣著,978-7-5190-2617-2,CNY56.00,中国文联出版社,2017,B821-49,,
63727,芯存者,颜桥著,978-7-5063-8919-8,CNY32.00,作家出版社,2016,I247.55,,
63726,释梦者,阿北著,978-7-5063-7975-5,CNY36.00,作家出版社,2015,I247.57,,
63725,张国荣传,关熙潮著,978-7-5063-8816-0,CNY46.00,作家出版社,2016,K825.7=76,,
63724,从天空到大地,鲍尔吉·原野著,978-7-5063-8330-1,CNY28.00,作家出版社,2016,I267,,
63723,立体几何,王以培著,978-7-5063-8726-2,CNY28.00,作家出版社,2016,I227,,
63722,步下红毯之后,,978-7-02-009600-8,CNY28.00,人民文学出版社,2014,I267,,
63721,心海的消息,,978-7-02-009704-3,CNY30.00,人民文学出版社,2014,I267,,
63720,艺术与垃圾,敬文东著,978-7-5063-8696-8,CNY45.00,作家出版社,2016,I206.7,,
63719,于是之家书,于是之著,978-7-5063-9314-0,CNY42.00,作家出版社,2017,K825.78=76,,
63718,贞子的救赎,(日) 铃木光司,978-7-02-010532-8,CNY29.90,人民文学出版社,2014,I313.45,,
63717,小说山庄,周晓苹选编,978-7-02-010766-7,CNY28.00,人民文学出版社,2015,I14,,
63716,泰戈尔诗选,(印度) 泰戈尔著,978-7-02-007113-5,CNY15.00,人民文学出版社,2002,I351.25,,
63715,飘,(美) 米切尔著,978-7-02-009341-0,CNY72.00 (2册),人民文学出版社,1990,I712.45,,
63714,天使,程青著,978-7-02-009339-7,CNY29.00,人民文学出版社,2014,I247.57,,
63713,最合宜的位置,周国平著,978-7-5063-6408-9,CNY28.00,作家出版社,2014,I267,,
63712,赤朽叶家的传说,(日) 樱庭一树著,978-7-02-009612-1,CNY32.00,人民文学出版社,2013,I313.45,,
63711,露沙的路,韦君宜著,978-7-02-010546-5,CNY32.00,人民文学出版社,2014,I247.57,,
63710,第九夜,骆英著,978-7-02-010469-7,CNY38.00,人民文学出版社,2014,I227.6,,
63709,倦倚碧罗裙,赵雪沛选注,978-7-02-009247-5,CNY35.00,人民文学出版社,2013,I222.848,,
63708,赵丽宏散文,赵丽宏,978-7-02-010817-6,CNY38.00,人民文学出版社,2015,I267,,
63707,赛姆勒先生的行星,(美) 索尔·贝娄著,978-7-02-011071-1,CNY39.00,人民文学出版社,2016,I712.45,,
63706,隔着竹帘儿看见她,林海音著,978-7-02-009717-3,CNY28.00,人民文学出版社,2013,I267,,
63705,沉默的证人,(英) 阿加莎·克里斯蒂著,978-7-02-006536-3,CNY25.00,人民文学出版社,2008,I561.45,,
63704,破解奇迹之人,(美) 约翰·狄克森·卡尔著,978-7-5534-4814-5,CNY35.80,吉林出版集团有限责任公司,2014,I712.45,,
63703,流动的月光,席慕蓉著,978-7-5063-7726-3,CNY36.00,作家出版社,2015,I267,,
63702,冰心散文,,978-7-02-009881-1,CNY30.00,人民文学出版社,2005,I267,,
63701,每天半小时练成漂亮楷书,思齐书院编著,978-7-122-18708-6,CNY15.00,化学工业出版社,2014,G634.955.3,,
63700,云心水心玉簪记,白先勇总策划,978-7-02-008330-5,CNY45.00,人民文学出版社,2011,I236.53,,
63699,绝杀,李惠泉著,978-7-5008-5197-4,CNY25.00,中国工人出版社,2012,I247.56,,
63698,竹阴读画,郭沫若著,978-7-04-044080-5,CNY29.80,高等教育出版社,2016,I266,,
63697,三个火枪手,(法) 大仲马著,978-7-02-010197-9,CNY54.00 (2册),人民文学出版社,2015,I565.44,,
63696,汤姆·索亚历险记,(美)马克·吐温著,978-7-02-007071-8,CNY14.00,人民文学出版社,1998,I712.84,,
63695,繁星 春水,冰心著,978-7-5153-3150-8,CNY39.00,中国青年出版社,2016,I226.1,,
63694,人文视野中的医学,刘俊荣著,978-7-5034-4954-3,CNY58.00,中国文史出版社,2014,R-05,,
63693,欧洲平行贸易,(英) 克里斯托费·斯托瑟斯著,978-7-5118-8043-7,CNY70.00,法律出版社,2015,D950.229,,
63692,黄河古事,龙飞著,978-7-5008-6596-4,CNY38.00,中国工人出版社,2017,I247.53,,
63691,梦寻南梁,沉石著,978-7-5154-0447-9,CNY38.00 (含光盘),当代中国出版社,2014,G634.333,,
63690,呼兰河传,萧红著,978-7-5153-2073-1,CNY48.00,中国青年出版社,2014,I246.57,,
63689,碧玺,马吝著,978-7-5477-1825-4,CNY38.00,北京日报出版社,2016,I247.57,,
63688,三味书屋,鲁迅著,978-7-5477-0639-8,CNY26.80,同心出版社,2013,I210.4,,
63687,流年里的花开,张岚著,978-7-5068-3984-6,CNY30.00,中国书籍出版社,2014,I267,,
63686,寻找英雄,北京日报纪事采写组编著,978-7-5477-2169-8,CNY48.00,北京日报出版社,2016,K827=6,,
63685,卡耐基,文轩编著,978-7-5511-2518-5,CNY35.00,花山文艺出版社,2016,C912.11-49,,
63684,噪音使整个世界静默,傅浩译,978-7-5063-8872-6,CNY96.00,作家出版社,2016,I382.25,,
63683,新编党政机关公文写作与规范处理全书,张浩编著,978-7-5034-8679-1,CNY49.80,中国文史出版社,2017,C931.46,,
63682,八路军战史,岳思平编著,978-7-5065-6141-9,CNY65.00,解放军出版社,2011,E297.3,,
63681,回忆徐悲鸿,,978-7-5034-5487-5,CNY33.00,中国文史出版社,2015,K825.72=71,,
63680,回忆洪深,全国政协文史和学习委员会编,978-7-5034-5607-7,CNY32.00,中国文史出版社,2015,K825.78=71,,
63679,回忆范旭东,全国政协文史和学习委员会编,978-7-5034-5527-8,CNY32.00,中国文史出版社,2015,K825.38=6,,
63678,千金方,李春深编著,978-7-5576-2671-6,CNY32.00,天津科学技术出版社,2017,R289.342,,
63677,孟子,原著孟子,978-7-5472-2054-2,CNY38.00,吉林文史出版社,2014,B222.54,,
63676,活动活动， 颈腰不痛,沈卫东主编,978-7-5384-8063-4,CNY35.00,吉林科学技术出版社,2015,R681.5,,
63675,政府信息公开,王敬波著,978-7-5118-9488-5,CNY39.00,法律出版社,2016,D630.1,,
63674,诸子百家,王佳编著,978-7-5461-4178-7,CNY39.00,黄山书社,2016,B22,,
63673,知青,梁晓声著,978-7-5153-4000-5,CNY126.00 (全2册),中国青年出版社,2016,I247.57,,
63672,她们知道我来过,张大诺著,978-7-5153-2225-4,CNY29.00,中国青年出版社,2014,I253.7,,
63671,天气制造的人类历史,张祥斌编著,978-7-224-11784-4,CNY28.00,陕西人民出版社,2016,P467-49,,
63670,徐志摩的20个细节,韩石山著,978-7-224-10494-3,CNY28.00,陕西人民出版社,2013,K825.6=6,,
63669,顾城诗传,麦子著,978-7-80232-709-2,CNY29.80,时事出版社,2014,K825.6=75,,
63668,维多利亚的秘密,恋光编著,978-7-5699-0168-9,CNY32.00,北京时代华文书局,2015,K835.615.76=6,,
63667,彪悍人生,刘天军著,978-7-5168-0952-5,CNY35.00,台海出版社,2016,I247.5,,
63666,每天学点心理学,郑和生著,978-7-5139-1425-3,CNY45.00,民主与建设出版社,2017,B84-49,,
63665,羋月传,吴韵汐著,978-7-5068-5244-9,CNY32.00,中国书籍出版社,2015,I247.53,,
63664,每天学点幽默口才,项星编著,978-7-5180-0902-2,CNY29.80,中国纺织出版社,2014,H019-49,,
63663,爱的徒劳·仲夏夜之梦,(英) 威廉·莎士比亚著,978-7-5470-3180-3,CNY23.80,万卷出版公司,2014,I561.33,,
63662,宋庆龄与她的保健医生,汤雄著,978-7-5169-0476-3,CNY30.00,华龄出版社,2014,K827=74,,
63661,人一生要读的诗歌,张小梅编,978-7-80250-896-5,CNY39.80,中国言实出版社,2012,I106.2,,
63660,梁衡文存,,978-7-5153-4016-6,CNY180.00 (3册 ; 含附件),中国青年出版社,2016,I267,,
63659,孙子兵法,(春秋) 孙武撰,978-7-5171-0231-1,CNY29.80,中国言实出版社,2013,E892.25,,
63658,可以平凡， 不能平庸,马晓云编著,978-7-5171-1466-6,CNY36.00,中国言实出版社,2016,B848.4-49,,
63657,别败在不会调节心态上,华陌编著,978-7-5171-0719-4,CNY30.00,中国言实出版社,2014,R395.6,,
63656,疯狂的野驴,吉柚权著,978-7-5063-7562-7,CNY30.00,作家出版社,2014,I247.59,,
63655,汉译世界学术名著丛书,,978-7-100-13263-3,CNY11200.00 (190册),商务印书馆,2017,K1-51,,
63654,秦淮八艳之陈圆圆传,张晓立著,978-7-5447-4469-0,CNY28.00,译林出版社,2013,K828.5=49,,
63653,爱与不爱， 下辈子不会再见,(韩) 金河仁著,978-7-5502-1835-2,CNY29.80,北京联合出版公司,2013,I312.655,,
63652,薄欢,朱品燕著,978-7-5447-4503-1,CNY28.00,译林出版社,2013,I247.7,,
63651,爱情识人术,阿莱著,978-7-5447-4677-9,CNY27.00,译林出版社,2014,C913.1-49,,
63650,任逍遥,贾樟柯著,978-7-5474-2068-3,CNY39.80,山东画报出版社,2017,J905.2,,
63649,雨夜灯,林少华著,978-7-5474-1897-0,CNY45.80,山东画报出版社,2016,I267.1,,
63648,咸叶草,陈本豪著,978-7-5060-9415-3,CNY49.80,东方出版社,2017,I267,,
63647,中外体育徽章图志,周继厚著,978-7-5474-2167-3,CNY98.00,山东画报出版社,2017,G811.9-64,,
63646,不抱怨 不生气 不失控,龚小北编,978-7-5113-3858-7,CNY59.00,中国华侨出版社,2013,B821-49,,
63645,别让压力毁了你 别让情绪左右你,方蕾， 庞丽娟编著,978-7-5113-3479-4,CNY59.80,中国华侨出版社,2013,B842.6,,
63644,正能量,蔺捷编,978-7-5113-3588-3,CNY59.00,中国华侨出版社,2013,B848.4,,
63643,中国后妃全传,廖志军编,978-7-5442-7332-9,CNY49.00,南海出版公司,2015,K828.5=2,,
63642,福尔摩斯探案集,(英) 柯南·道尔著,978-7-5164-0872-8,CNY29.80,企业管理出版社,2014,I561.45,,
63641,沉思录,(古罗马) 奥勒留等著,978-7-5113-3777-1,CNY59.00,中国华侨出版社,2013,B502.43,,
63640,你不知道他多不爱你,朱映晓著,978-7-5447-3900-9,CNY28.00,译林出版社,2013,I267.1,,
63639,一朵蒲公英的愿望,陈晓辉， 一路开花主编,978-7-5447-3960-3,CNY25.00,译林出版社,2013,I14,,
63638,美杜莎,樊朔著,978-7-5447-4120-0,CNY28.00,译林出版社,2013,I247.57,,
63637,假如你的恋人来自香水小镇,沈嘉柯著,978-7-5447-4676-2,CNY28.00,译林出版社,2014,I247.7,,
63636,布莱泽,(美) 斯蒂芬·金著,978-7-02-012525-8,CNY55.00,人民文学出版社,2010,I712.45,,
63635,孤独者的秋天,(奥) 特拉克尔著,978-7-02-011830-4,CNY26.00,人民文学出版社,2016,I521.25,,
63634,只要坚持， 梦想总是可以实现的!,墨陌著,978-7-5533-1293-4,CNY35.00,南京出版社,2016,B848.4-49,,
63633,生命是场博弈过程便得是奖赏,吴瑛著,978-7-5068-4930-2,CNY26.00,中国书籍出版社,2015,I267,,
63632,我对你的爱有多长,陈晓辉， 一路开花主编,978-7-5447-4186-6,CNY25.00,译林出版社,2013,I267,,
63631,斟情记,李楚冰主编,978-7-5113-3702-3,CNY28.00,中国华侨出版社,2013,I247.7,,
63630,感谢折磨你的人,孙溪岩编,978-7-5113-3561-6,CNY59.00,中国华侨出版社,2013,B848.4-49,,
63629,穿过爱情的漫长旅程,垂青著,978-7-5143-2422-8,CNY32.80,现代出版社,2014,K825.6=6,,
63628,把黑夜点燃,张承志著,978-7-5113-3699-6,CNY36.00,中国华侨出版社,2013,I267,,
63627,戒定真香,永芸法师著,978-7-5474-2108-6,CNY38.00,山东画报出版社,2017,I267,,
63626,物业管理纠纷案例与实务,骆鑫， 刘娅编著,978-7-302-47497-5,CNY43.00,清华大学出版社,2017,D922.385,,
63625,新行政诉讼法逐条注释,李广宇著,978-7-5118-7401-6,CNY149.00 (2册),法律出版社,2015,D925.305,,
63624,青岛名刹湛山寺,任颖卮著,978-7-5034-7697-6,CNY42.00,中国文史出版社,2016,B947.252.3,,
63623,先驱者的形象,王富仁著,978-7-5675-2536-8,CNY58.00,华东师范大学出版社,2014,I206.6,,
63622,仓央嘉措,夏风颜著,978-7-5063-7376-0,CNY36.00,作家出版社,2014,B949.92,,
63621,哈姆雷特·莎士比亚悲剧集,(英) 莎士比亚著,978-7-5126-4703-9,CNY31.00,团结出版社,2017,I561.33,,
63620,亲爱的爱 你好吗,崔修建著,978-7-5496-0963-5,CNY29.80,文汇出版社,2013,C913.1,,
63619,孔子纪行,蔡志忠著,978-7-5143-4371-7,CNY39.80,现代出版社,2016,B222.25,,
63618,守候是我能给你最好的爱,董江波著,978-7-80769-766-4,CNY26.80,北京时代华文书局,2014,I247.57,,
63617,人生总会有办法!,(日) 水野敬也， 长沼直树著,978-7-5143-3402-9,CNY42.00,现代出版社,2016,B848.4,,
63616,当代政治理论,(英) 雷蒙德·普兰特著,978-7-5534-7923-1,CNY88.00,吉林出版集团有限责任公司,2015,D0,,
63615,结婚十年,苏青著,978-7-5127-1142-6,CNY29.80,中国妇女出版社,2015,I246.53,,
63614,盛夏晚晴天,柳晨枫著,978-7-5399-6176-7,CNY24.80,江苏文艺出版社,2013,I247.57,,
63613,我总是一个人， 你从不曾来过,随园散人著,978-7-5146-0835-9,CNY35.00 (2册),中国画报出版社,2013,K826.16=71,,
63612,老子思想初探,李红振著,978-7-5190-1661-6,CNY36.00,中国文联出版社,2016,B223.15,,
63611,心的丝路,林清玄,978-7-02-011342-2,CNY38.00,人民文学出版社,2014,I267,,
63610,假如给我三天光明,(美) 海伦·凯勒著,978-7-5057-3323-7,CNY20.00,中国友谊出版公司,2014,K837.127=533,,
63609,辜鸿铭,辜鸿铭著,978-7-5090-1153-9,CNY42.00,当代世界出版社,2017,Z126.27,,
63608,纳兰性德全集,纳兰性德著,978-7-5125-0896-5,CNY288.00 (6册),国际文化出版公司,2016,I214.92,,
63607,春花的葬礼,(法) 耶麦著,978-7-02-011831-1,CNY48.00,人民文学出版社,2016,I565.24,,
63606,女人30， 拥抱更广阔的人生,(日) 有川真由美著,978-7-5143-4440-0,CNY38.00,现代出版社,2017,B848.4-49,,
63605,卡内基自传,(美) 安德鲁·卡内基著,978-7-5057-3223-0,CNY24.00,中国友谊出版公司,2013,K837.125.38=51,,
63604,蜗牛小镇,莫峻作品,978-7-5511-1907-8,CNY28.50 (含附件),花山文艺出版社,2014,I247.57,,
63603,其实， 我想说,许浩著,978-7-5034-6372-3,CNY48.00,中国文史出版社,2015,C912.11,,
63602,吕碧城文传,曾学琴著,978-7-5496-0941-3,CNY25.00,文汇出版社,2013,K825.6=6,,
63601,被你改变的时光,(韩) 沈承炫著,978-7-5143-1803-6,CNY40.00,现代出版社,2013,J238.2(312.6),,
63600,我不是谁的备胎,羊乃书作品,978-7-5063-8002-7,CNY32.80,作家出版社,2015,I267.1,,
63599,民事审判指导与参考,杜万华主编,978-7-5109-1669-4,CNY38.00,人民法院出版社,2017,D925.118-55,,
63598,读此书益人生,马洪昌著,978-7-5171-1484-0,CNY42.00,中国言实出版社,2015,B821-49,,
63597,风水宝地,王昕朋著,978-7-5171-0410-0,CNY25.00,中国言实出版社,2014,I247.57,,
63596,红夹克,王昕朋著,978-7-5171-0409-4,CNY25.00,中国言实出版社,2014,I247.57,,
63595,金骏马,王昕朋著,978-7-5171-0408-7,CNY25.00,中国言实出版社,2014,I247.7,,
63594,并非闹剧,王昕朋著,978-7-5171-0412-4,CNY25.00,中国言实出版社,2014,I247.57,,
63593,世事年年见沧桑,王墨著,978-7-5171-1509-0,CNY36.00,中国言实出版社,2016,I251,,
63592,逻辑思维训练大全集,明道编著,978-7-5113-1678-3,CNY59.80,中国华侨出版社,2011,B80,,
63591,向着温暖的方向,铃兰著,978-7-5555-0795-6,CNY36.80,远方出版社,2016,I267,,
63590,谁都不容易,徐泽著,978-7-5068-3862-7,CNY28.00,中国书籍出版社,2014,I247.57,,
63589,爱玛,(英) 奥斯汀著,978-7-5605-7376-2,CNY40.00,西安交通大学出版社,2015,I561.44,,
63588,时代颂歌,赵宏兴， 张建春主编,978-7-5068-6029-1,CNY52.00,中国书籍出版社,2017,I217.61,,
63587,且行且珍惜,虎丫著,978-7-5171-0561-9,CNY29.80,中国言实出版社,2014,B821-49,,
63586,改变他人不如改变自己,王凡编著,978-7-5171-0402-5,CNY32.00,中国言实出版社,2014,B848.4,,
63585,蓝色三环,纪学， 曾凡华著,978-7-5171-1319-5,CNY58.00,中国言实出版社,2015,I253.2,,
63584,名著里的那些爱,彭娇妍著,978-7-5171-0239-7,CNY28.00,中国言实出版社,2014,I106,,
63583,文学的故事,卜兴丰编,978-7-80250-853-8,CNY39.80,中国言实出版社,2012,I109-49,,
63582,留学之路,谢荣镇著,978-7-5171-1956-2,CNY49.00,中国言实出版社,2017,G648.9,,
63581,万万没想到这就是心理学,心灵花园著,978-7-5168-1131-3,CNY36.00,台海出版社,2016,B84-49,,
63580,马云传,上官凤著,978-7-5168-1177-1,CNY36.80,台海出版社,2016,K825.38=76,,
63579,马云,上官凤著,978-7-5168-1148-1,CNY36.00,台海出版社,2016,H019,,
63578,佳人有约,张学荣著,978-7-5068-4015-6,CNY32.00,中国书籍出版社,2015,I247.82,,
63577,米家山水,宋璞,978-7-5321-5053-3,CNY29.00,上海文艺出版社,2013,I247.7,,
63576,谢里宝贝,(法) 科莱特著,978-7-5321-4982-7,CNY22.00,上海文艺出版社,2013,I565.45,,
63575,越前竹偶,(日) 水上勉著,978-7-5321-4992-6,CNY29.00,上海文艺出版社,2013,I313.45,,
63574,深深的伤口,(德) 内尔·诺伊豪斯 (Nele Neuhaus) 著,978-7-5321-4998-8,CNY32.00,上海文艺出版社,2013,I516.45,,
63573,我的大学,(苏) 高尔基著,978-7-5321-4781-6,CNY20.00,上海文艺出版社,2013,I512.45,,
63572,空间句法在中国,段进， 比尔·希列尔等著,978-7-5641-4171-4,CNY99.00,东南大学出版社,2015,TU984.2,,
63571,神秘尼泊尔,夏克梁著,978-7-5641-5990-0,CNY65.00,东南大学出版社,2015,J224.8,,
63570,给明天要上班的你,陈立品著,978-7-5447-5487-3,CNY29.80,译林出版社,2015,B848.4-49,,
63569,命运之人,(日) 山崎丰子著,978-7-02-010122-1,CNY76.00 (2册),人民文学出版社,2013,I313.45,,
63568,念念好日,,978-7-5470-3561-0,CNY34.00,万卷出版公司,2015,I267.1,,
63567,成为所有地方的所有人,青年文摘图书中心编,978-7-5153-2433-3,CNY28.00,中国青年出版社,2014,I267,,
63566,年轻总免不了一场颠沛流离,青年文摘图书中心编,978-7-5153-2434-0,CNY28.00,中国青年出版社,2014,I267,,
63565,中国好小说,,978-7-5153-2239-1,CNY29.00,中国青年出版社,2014,I247,,
63564,感谢我的世界里， 你曾来过,顾七兮著,978-7-5555-0729-1,CNY29.80,远方出版社,2016,I247.57,,
63563,吸血鬼,(英) 柯南·道尔著,978-7-5164-0871-1,CNY29.80,企业管理出版社,2014,I561.45,,
63562,福尔摩斯探案集,(英) 柯南·道尔著,978-7-5164-0870-4,CNY29.80,企业管理出版社,2014,I561.45,,
63561,有些事， 一想就流泪,子言著,978-7-5682-1668-5,CNY32.00,北京理工大学出版社,2016,I267,,
63560,三个火枪手,(法) 大仲马著,978-7-5339-3639-6,CNY16.00,浙江文艺出版社,2013,H319.4:I565.44,,
63559,福尔摩斯探案集,(英) 柯南·道尔著,978-7-5164-0873-5,CNY29.80,企业管理出版社,2014,I561.45,,
63558,别把这世界让给你鄙视的人,杨喵喵著,978-7-5143-4443-1,CNY39.80,现代出版社,2017,B848.4-49,,
63557,尘世的梦浮桥,苏枕书著,978-7-5474-2107-9,CNY42.80,山东画报出版社,2017,I267,,
63556,人与人之间,(韩) 高喆鍾著,978-7-5474-2109-3,CNY39.80,山东画报出版社,2017,C912.11,,
63555,邂逅太阳,高学栋， 夏风主编,978-7-5474-2066-9,CNY43.80,山东画报出版社,2017,I253,,
63554,君若爱莲,雨辰著,978-7-5190-1627-2,CNY35.00,中国文联出版社,2016,I217.62,,
63553,喜欢现在的自己,青松著,978-7-5139-1247-1,CNY35.00,民主与建设出版社,2017,B848.4,,
63552,教育应该不一样,严长寿著,978-7-5675-1709-7,CNY25.00,华东师范大学出版社,2014,G527.58,,
63551,艺术形式不仅仅是形式,殷国明著,978-7-5675-2540-5,CNY39.00,华东师范大学出版社,2014,I0-53,,
63550,品格的力量,(英) 塞缪尔·斯迈尔斯著,978-7-5068-5897-7,CNY38.00,中国书籍出版社,2017,B825-49,,
63549,杨朔散文,,978-7-02-009887-3,CNY30.00,人民文学出版社,2005,I267,,
63548,中国好小说,,978-7-5153-3637-4,CNY29.00,中国青年出版社,2016,I247,,
63547,一只特立独行的猪,王小波著,978-7-5142-1600-4,CNY36.00,文化发展出版社,2017,I267.1,,
63546,深夜醒来,乔叶著,978-7-5154-0525-4,CNY28.00,当代中国出版社,2015,I267,,
63545,脚的故事,(法) 勒克莱齐奥著,978-7-02-009598-8,CNY25.00,人民文学出版社,2013,I565.45,,
63544,人性的弱点,(美) 戴尔·卡耐基著,978-7-201-10140-8,CNY32.80,天津人民出版社,2016,C912.11,,
63543,二刻拍案惊奇,凌濛初著,978-7-02-005157-1,CNY38.00,人民文学出版社,1996,I242.3,,
63542,有梦就能实现,陈田忠著,978-7-5126-4131-0,CNY48.00,团结出版社,2016,K825.38=76,,
63541,爱情无非就长这个样子,梦里闲人著,978-7-5143-2927-8,CNY56.00 (2册),现代出版社,2014,I247.57,,
63540,大唐荣耀,沧溟水著,978-7-5104-6195-8,CNY68.00 (全2册),新世界出版社,2017,I247.57,,
63539,花开花落的红尘,闵凡利,978-7-5500-0789-5,CNY20.00,百花洲文艺出版社,2014,I247.82,,
63538,忽然天好蓝,张祖文著,978-7-5500-0791-8,CNY20.00,百花洲文艺出版社,2014,I247.82,,
63537,城市遗梦,尚庆海著,978-7-5500-0780-2,CNY20.00,百花洲文艺出版社,2014,I247.82,,
63536,遇见真正的自己,孟祥麟著,978-7-5095-4497-6,CNY35.00,中国财政经济出版社,2013,B848-49,,
63535,米嘉之恋,(俄) I. 蒲宁著,978-7-5502-4485-6,CNY25.00,北京联合出版公司,2015,I512.45,,
63534,阿恩,(挪) B. 比昂松著,978-7-5502-4473-3,CNY20.00,北京联合出版公司,2015,I533.45,,
63533,舞姬,森鸥外,978-7-5534-0139-3,CNY39.80,吉林出版集团有限责任公司,2014,I313.45,,
63532,洛克论人权与自由,(英) 约翰·洛克著,978-7-5044-9247-0,CNY38.00,中国商业出版社,2016,B561.24,,
63531,红楼丛谈,龚鹏程著,978-7-5474-1890-1,CNY49.80,山东画报出版社,2016,I207.411-53,,
63530,禅是一枝花,雪小禅著,978-7-5474-2064-5,CNY39.80,山东画报出版社,2017,I267,,
63529,风之又三郎,宫泽贤治,978-7-5463-8975-2,CNY42.80,吉林出版集团有限责任公司,2012,I313.45,,
63528,赢在自己,宋卿著,978-7-5164-0884-1,CNY29.90,企业管理出版社,2014,B848.4,,
63527,辉常伤感,刘卓辉著,978-7-5447-2307-7,CNY36.00,译林出版社,2014,I267.1,,
63526,莫格拉封印,敏敏公主著,978-7-201-08431-2,CNY26.80,天津人民出版社,2014,I247.59,,
63525,三片叶子,梅芷著,978-7-213-07695-4,CNY48.00,浙江人民出版社,2017,I267,,
63524,21岁当总裁,董思阳著,978-7-5126-2266-1,CNY29.80,团结出版社,2014,K825.38=76,,
63523,敢爱,娟子著,978-7-5057-3404-3,CNY29.80,中国友谊出版公司,2014,I247.57,,
63522,大腕的青春,蒋涛著,978-7-5447-4600-7,CNY42.00,译林出版社,2013,I247.57,,
63521,厌倦了伦敦， 就厌倦了生活,(英) 汤姆·琼斯著,978-7-5309-7012-6,CNY36.00,天津教育出版社,2013,K956.1,,
63520,黄霑,王玉著,978-7-221-12785-3,CNY39.80,贵州人民出版社,2016,K825.76=76,,
63519,访学启示录,张明仙著,978-7-5681-2558-1,CNY42.00,东北师范大学出版社,2017,C53,,
63518,0-3岁快乐宝宝毛衣,张翠主编,978-7-5064-8976-8,CNY39.80,中国纺织出版社,2013,TS941.763.1,,
63517,中国员工心理健康手册,王伟编著,978-7-5008-5462-3,CNY26.80,中国工人出版社,2013,R395.6-62,,
63516,晚清三杰,王第著,978-7-5511-2497-3,CNY39.80,花山文艺出版社,2016,K827=52,,
63515,魔法花园,王增策绘图,978-7-5168-0708-8,CNY35.00,台海出版社,2015,J21,,
63514,黑衣女人,苏珊·希尔著,978-7-02-009568-1,CNY28.00,人民文学出版社,2013,I561.45,,
63513,我们在人山人海边走边爱,李楚冰主编,978-7-5113-3705-4,CNY28.00,中国华侨出版社,2013,I247.7,,
63512,中情局绝密档案之希特勒性格分析报告,(美) 享利·A. 穆雷著,978-7-5126-3007-9,CNY29.80,团结出版社,2014,K835.167=52,,
63511,我不是林黛玉,陈彧著,978-7-5047-5918-4,CNY35.00,中国财富出版社,2016,B848.4,,
63510,人生的五个问题,孙银芳编,978-7-5513-0512-9,CNY29.80,太白文艺出版社,2013,B821-49,,
63509,培根随笔,(英) 弗朗西斯·培根著,978-7-5063-8950-1,CNY39.80,作家出版社,2016,I561.63,,
63508,宋元戏曲史·人间词话,王国维著,978-7-5470-3601-3,CNY21.00,万卷出版公司,2015,J809.244,,
63507,镇与城,杰克·凯鲁亚克著,978-7-02-009705-0,CNY39.80,人民文学出版社,2013,I712.45,,
